"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"612783",4046759516,"Asterales","Asteraceae","Senecio","Senecio triangularis","","SPECIES","Senecio triangularis Hook.","Senecio triangularis","","","Idaho",44.625383,-115.798511,4
"618202",3384625921,"Asterales","Asteraceae","Chaenactis","Chaenactis evermannii","","SPECIES","Chaenactis evermannii Greene","Chaenactis evermannii","","","Idaho",44.23455,-115.216888,14
"618502",3947054676,"Asterales","Asteraceae","Agoseris","Agoseris aurantiaca","","SPECIES","Agoseris aurantiaca (Hook.) Greene","Agoseris aurantiaca","","","Idaho",44.62536,-115.798412,15
"632957",2422909429,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Idaho",44.92913,-116.082755,5
"635490",4165559995,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Idaho",44.606595,-114.54477,4
"661802",4011870930,"Asterales","Asteraceae","Tanacetum","Tanacetum balsamita","","SPECIES","Tanacetum balsamita L.","Tanacetum balsamita","","","Idaho",44.398214,-114.316696,16
"664716",3384461904,"Asterales","Asteraceae","Chaenactis","Chaenactis evermannii","","SPECIES","Chaenactis evermannii Greene","Chaenactis evermannii","","","Idaho",44.328914,-115.227853,5
"671195",3902619796,"Asterales","Asteraceae","Saussurea","Saussurea americana","","SPECIES","Saussurea americana D.C.Eaton","Saussurea americana","","","Idaho",44.363719,-115.259347,24
"677869",3330568558,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Idaho",44.367869,-115.275781,5
"683475",3698083795,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Idaho",44.475221,-114.211678,29
"685176",4133737644,"Asterales","Asteraceae","Wyethia","Wyethia helianthoides","","SPECIES","Wyethia helianthoides Nutt.","Wyethia helianthoides","","","Idaho",44.500531,-116.085508,3
"688260",2422887138,"Asterales","Asteraceae","Cirsium","Cirsium scariosum","","SPECIES","Cirsium scariosum Nutt.","Cirsium scariosum","","","Idaho",44.363461,-115.2683,8
"689285",3335397917,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Idaho",45.16893,-113.863533,40
"689862",4028675853,"Asterales","Asteraceae","Antennaria","Antennaria rosea","","SPECIES","Antennaria rosea Greene","Antennaria rosea","","","Idaho",44.394812,-114.30892,16
"692302",4171286067,"Asterales","Asteraceae","Symphyotrichum","Symphyotrichum foliaceum","","SPECIES","Symphyotrichum foliaceum (DC.) G.L.Nesom","Symphyotrichum foliaceum","","","Idaho",44.370833,-114.295062,9
"692844",3947829587,"Asterales","Asteraceae","Tanacetum","Tanacetum vulgare","","SPECIES","Tanacetum vulgare L.","Tanacetum vulgare","","","Idaho",44.517095,-116.055111,8
"705566",4162435519,"Asterales","Asteraceae","Crepis","Crepis acuminata","","SPECIES","Crepis acuminata Nutt.","Crepis acuminata","","","Idaho",44.549625,-114.396955,4
"712327",4162450528,"Asterales","Asteraceae","Chaenactis","Chaenactis douglasii","","SPECIES","Chaenactis douglasii (Hook.) Hook. & Arn.","Chaenactis douglasii","","","Idaho",44.549587,-114.396942,4
"722484",3947292581,"Asterales","Asteraceae","Cichorium","Cichorium intybus","","SPECIES","Cichorium intybus L.","Cichorium intybus","","","Idaho",44.517102,-116.055182,8
"722692",4018244862,"Asterales","Asteraceae","Tragopogon","Tragopogon dubius","","SPECIES","Tragopogon dubius Scop.","Tragopogon dubius","","","Idaho",44.476709,-114.210936,12
"729209",4096428316,"Asterales","Asteraceae","Senecio","Senecio integerrimus","","SPECIES","Senecio integerrimus Nutt.","Senecio integerrimus","","","Idaho",44.867919,-115.947136,30
"737578",4029197052,"Asterales","Asteraceae","Cirsium","Cirsium arvense","","SPECIES","Cirsium arvense (L.) Scop.","Cirsium arvense","","","Idaho",44.477313,-115.141061,4
"737854",4177134795,"Asterales","Asteraceae","Crepis","Crepis acuminata","","SPECIES","Crepis acuminata Nutt.","Crepis acuminata","","","Idaho",44.89917,-113.947899,4
"738407",4028654642,"Asterales","Asteraceae","Helianthus","Helianthus nuttallii","","SPECIES","Helianthus nuttallii Torr. & A.Gray","Helianthus nuttallii","","","Idaho",44.475462,-114.21021,30
"771481",3902676012,"Asterales","Asteraceae","Adenocaulon","Adenocaulon bicolor","","SPECIES","Adenocaulon bicolor Hook.","Adenocaulon bicolor","","","Idaho",44.944885,-116.07518,4
"783944",4029167438,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Idaho",44.381305,-114.26272,14
"784390",2814169682,"Asterales","Asteraceae","Wyethia","Wyethia sagittata","","SPECIES","Balsamorhiza sagittata (Pursh) Nutt.","Balsamorhiza sagittata","","","Idaho",45.15479,-113.674926,4
"791763",2864594857,"Asterales","Asteraceae","Cirsium","Cirsium vulgare","","SPECIES","Cirsium vulgare (Savi) Ten.","Cirsium vulgare","","","Idaho",44.6012,-115.844308,4
"800521",3902092814,"Asterales","Asteraceae","Saussurea","Saussurea americana","","SPECIES","Saussurea americana D.C.Eaton","Saussurea americana","","","Idaho",44.357975,-115.239931,10
"801468",3383882892,"Asterales","Asteraceae","Chaenactis","Chaenactis evermannii","","SPECIES","Chaenactis evermannii Greene","Chaenactis evermannii","","","Idaho",44.318275,-115.232955,9
"809405",2988587369,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Idaho",44.927505,-116.086053,10
"810746",4018587316,"Asterales","Asteraceae","Hymenoxys","Hymenoxys grandiflora","","SPECIES","Hymenoxys grandiflora (Torr. & A.Gray) K.F.Parker","Hymenoxys grandiflora","","","Idaho",44.368356,-113.271706,5
"815985",3466203839,"Asterales","Asteraceae","Grindelia","Grindelia squarrosa","","SPECIES","Grindelia squarrosa (Pursh) Dunal","Grindelia squarrosa","","","Idaho",44.505188,-114.347027,25
"817208",3499693310,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Idaho",44.46976,-114.201239,30
"821499",1305113441,"Asterales","Asteraceae","Helianthella","Helianthella uniflora","","SPECIES","Helianthella uniflora (Nutt.) Torr. & A.Gray","Helianthella uniflora","","","Idaho",44.85072,-115.9478,3
"827916",4145477436,"Asterales","Asteraceae","Achillea","Achillea millefolium","","SPECIES","Achillea millefolium L.","Achillea millefolium","","","Idaho",44.913738,-113.854759,4
"834037",3330635563,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Idaho",44.954783,-113.849175,8
"834701",2856751475,"Asterales","Asteraceae","Tripleurospermum","Tripleurospermum inodorum","","SPECIES","Tripleurospermum inodorum (L.) Sch.-Bip","Tripleurospermum inodorum","","","Idaho",44.505142,-116.029837,5
"841585",4029193857,"Asterales","Asteraceae","Centaurea","Centaurea stoebe","","SPECIES","Centaurea stoebe L.","Centaurea stoebe","","","Idaho",44.398353,-114.317358,11
"843072",1901045321,"Asterales","Asteraceae","Artemisia","Artemisia tridentata","","SPECIES","Artemisia tridentata (Nutt.) W.A.Weber","Artemisia tridentata","","","Idaho",44.928799,-116.081963,5
"843404",3872866675,"Asterales","Asteraceae","Wyethia","Wyethia helianthoides","","SPECIES","Wyethia helianthoides Nutt.","Wyethia helianthoides","","","Idaho",44.25245,-115.008567,4
"844283",3456608398,"Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea","","SPECIES","Anaphalis margaritacea (L.) Benth.","Anaphalis margaritacea","","","Idaho",44.957118,-116.081826,6
"851118",4145627055,"Asterales","Asteraceae","Wyethia","Wyethia helianthoides","","SPECIES","Wyethia helianthoides Nutt.","Wyethia helianthoides","","","Idaho",44.288665,-115.032634,15
"859846",4177133687,"Asterales","Asteraceae","Crepis","Crepis acuminata","","SPECIES","Crepis acuminata Nutt.","Crepis acuminata","","","Idaho",44.898529,-113.952217,10
"860223",3465899784,"Asterales","Asteraceae","Cirsium","Cirsium scariosum","","SPECIES","Cirsium scariosum Nutt.","Cirsium scariosum","","","Idaho",44.449944,-114.600061,38
"861733",3383831889,"Asterales","Asteraceae","Adenocaulon","Adenocaulon bicolor","","SPECIES","Adenocaulon bicolor Hook.","Adenocaulon bicolor","","","Idaho",44.603222,-115.843513,4
"868976",3873377323,"Asterales","Asteraceae","Wyethia","Wyethia helianthoides","","SPECIES","Wyethia helianthoides Nutt.","Wyethia helianthoides","","","Idaho",44.288659,-115.032213,4
"873177",2851020820,"Asterales","Asteraceae","Matricaria","Matricaria discoidea","","SPECIES","Matricaria discoidea DC.","Matricaria discoidea","","","Idaho",45.046632,-114.283763,10
