"","gbifID","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","locality","stateProvince","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters"
"296877",3124567466,"Geraniales","Geraniaceae","Erodium","Erodium cicutarium","","SPECIES","Erodium cicutarium (L.) L'Hér.","Erodium cicutarium","","","Utah",38.947617,-112.345262,25
"526350",3337937357,"Myrtales","Onagraceae","Chamaenerion","Chamaenerion angustifolium","","SPECIES","Chamaenerion angustifolium (L.) Scop.","Chamaenerion angustifolium","","","Utah",38.378793,-112.399722,4
"544483",4129669589,"Myrtales","Onagraceae","Oenothera","Oenothera cespitosa","","SPECIES","Oenothera cespitosa Nutt.","Oenothera cespitosa","","","Utah",38.415928,-112.833345,10
"560781",3785002386,"Myrtales","Onagraceae","Oenothera","Oenothera pallida","","SPECIES","Oenothera pallida Lindl.","Oenothera pallida","","","Utah",38.567725,-112.266555,28
"693601",3772910161,"Saxifragales","Grossulariaceae","Ribes","Ribes aureum","","SPECIES","Ribes aureum Pursh","Ribes aureum","","","Utah",38.578175,-112.330874,5
"696634",3109318565,"Saxifragales","Grossulariaceae","Ribes","Ribes aureum","","SPECIES","Ribes aureum Pursh","Ribes aureum","","","Utah",38.882678,-112.390097,5
"706032",4171825621,"Saxifragales","Grossulariaceae","Ribes","Ribes aureum","","SPECIES","Ribes aureum Pursh","Ribes aureum","","","Utah",38.580807,-112.320818,7
"714225",3859749040,"Saxifragales","Crassulaceae","Sedum","Sedum debile","","SPECIES","Sedum debile S.Watson","Sedum debile","","","Utah",38.436328,-112.377153,15
"7194331",3860336961,"Saxifragales","Saxifragaceae","Heuchera","Heuchera rubescens","rubescens","VARIETY","Heuchera rubescens var. rubescens","Heuchera rubescens rubescens","","","Utah",38.436241,-112.377321,8
"731807",3859925020,"Saxifragales","Crassulaceae","Sedum","Sedum debile","","SPECIES","Sedum debile S.Watson","Sedum debile","","","Utah",38.436236,-112.377327,8
